Channels,Total,,,,,,,,1 of 8: AMAZON-B2B,,,,,,,,2 of 8: FLIPKART-B2B,,,,,,,,3 of 8: MEESHO B2C,,,,,,,,4 of 8: SHOPSY B2C,,,,,,,,5 of 8: FK MP B2C,,,,,,,,Combined FK B2C,,,,,,,,6 of 8: Amazon Bazaar & B2C,,,,,,,,7 of 8: JioMart B2C,,,,,,,,8 of 8: Blinkit B2B,,,,,,,,
Day,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share
21-Dec,"17,52,734",3363,5219,"2,47,023",521,14.10%,-2.70%,"","5,21,187",1052,2091,"2,239",495,0.40%,-11.10%,29.70%,"7,80,965",1235,1585,"1,65,730",632,21.20%,5.70%,44.60%,"3,41,230",818,1159,"5,524",417,1.60%,-4.60%,19.50%,"61,224",169,203,"2,931",362,4.80%,-16.60%,3.50%,"25,056",51,128,"289",491,1.20%,1.40%,1.40%,"86,280",220,331,"3,220",392,3.70%,-12.10%,4.90%,"1,038",2,2,"-",519,0.00%,-34.20%,0.10%,"22,034",36,51,"-",612,0.00%,9.80%,1.30%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
22-Dec,"18,47,505",3667,5856,"2,85,311",504,15.40%,5.40%,"","5,83,462",1203,2660,"38,608",485,6.60%,11.90%,31.60%,"7,92,396",1284,1599,"1,75,230",617,22.10%,1.50%,42.90%,"3,38,686",806,1152,"5,921",420,1.70%,-0.70%,18.30%,"94,795",299,328,"2,667",317,2.80%,54.80%,5.10%,"16,763",38,70,"306",441,1.80%,-33.10%,0.90%,"1,11,558",337,398,"2,973",331,2.70%,29.30%,6.00%,"1,437",3,3,"-",479,0.00%,38.40%,0.10%,"19,966",34,44,"-",587,0.00%,-9.40%,1.10%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
23-Dec,"19,97,063",3891,6158,"3,37,833",513,16.90%,8.10%,"","5,25,355",1068,2338,"51,079",492,9.70%,-10.00%,26.30%,"8,66,154",1366,1759,"2,14,010",634,24.70%,9.30%,43.40%,"3,96,627",910,1290,"7,949",436,2.00%,17.10%,19.90%,"1,27,843",412,459,"2,892",310,2.30%,34.90%,6.40%,"49,534",85,242,"642",583,1.30%,195.50%,2.50%,"1,77,377",497,701,"3,534",357,2.00%,59.00%,8.90%,"1,038",2,2,"-",519,0.00%,-27.80%,0.10%,"30,512",48,68,"-",636,0.00%,52.80%,1.50%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
24-Dec,"19,94,521",3869,6202,"3,91,960",516,19.70%,-0.10%,"","5,39,731",1093,2455,"59,957",494,11.10%,2.70%,27.10%,"8,82,398",1442,1777,"2,15,950",612,24.50%,1.90%,44.20%,"3,93,320",868,1322,"4,575",453,1.20%,-0.80%,19.70%,"1,12,985",352,393,"2,872",321,2.50%,-11.60%,5.70%,"40,381",70,199,"690",577,1.70%,-18.50%,2.00%,"1,53,366",422,592,"3,562",363,2.30%,-13.50%,7.70%,"1,497",3,3,"-",499,0.00%,44.20%,0.10%,"24,209",41,53,"-",590,0.00%,-20.70%,1.20%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
25-Dec,"21,80,960",4184,6933,"3,78,298",521,17.30%,9.30%,"","6,74,556",1339,2968,"61,341",504,9.10%,25.00%,30.90%,"8,85,208",1432,1787,"1,96,030",618,22.10%,0.30%,40.60%,"4,34,786",944,1467,"7,236",461,1.70%,10.50%,19.90%,"1,14,328",349,411,"2,506",328,2.20%,1.20%,5.20%,"52,326",87,259,"714",601,1.40%,29.60%,2.40%,"1,66,654",436,670,"3,220",382,1.90%,8.70%,7.60%,"3,034",5,5,"-",607,0.00%,102.70%,0.10%,"16,722",28,36,"-",597,0.00%,-30.90%,0.80%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
26-Dec,"21,79,459",4169,6669,"3,72,754",523,17.10%,-0.10%,"","5,91,066",1208,2542,"63,623",489,10.80%,-12.40%,27.10%,"9,01,998",1442,1826,"1,97,100",626,21.90%,1.90%,41.40%,"4,95,266",1037,1576,"10,528",478,2.10%,13.90%,22.70%,"1,17,382",360,404,"3,114",326,2.70%,2.70%,5.40%,"50,714",85,268,"775",597,1.50%,-3.10%,2.30%,"1,68,096",445,672,"3,889",378,2.30%,0.90%,7.70%,"499",1,1,"-",499,0.00%,-83.60%,0.00%,"22,534",36,52,"-",626,0.00%,34.80%,1.00%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
27-Dec,"23,36,365",4425,7119,"3,97,620",528,17.00%,7.20%,"","6,71,157",1310,2845,"70,554",512,10.50%,13.60%,28.70%,"9,95,481",1599,2013,"2,15,970",623,21.70%,10.40%,42.60%,"4,90,265",1044,1558,"11,840",470,2.40%,-1.00%,21.00%,"1,04,898",354,391,"2,885",296,2.80%,-10.60%,4.50%,"46,403",69,249,"845",673,1.80%,-8.50%,2.00%,"1,51,301",423,640,"3,730",358,2.50%,-10.00%,6.50%,"1,078",2,2,"-",539,0.00%,116.00%,0.00%,"27,083",47,61,"-",576,0.00%,20.20%,1.20%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
28-Dec,"26,48,140",5015,7927,"4,55,982",528,17.20%,13.30%,"","7,45,587",1520,3031,"70,729",491,9.50%,11.10%,28.20%,"11,28,233",1807,2283,"2,65,080",624,23.50%,13.30%,42.60%,"5,59,407",1167,1748,"11,477",479,2.10%,14.10%,21.10%,"1,07,713",360,392,"2,727",299,2.50%,2.70%,4.10%,"76,342",109,402,"845",700,1.10%,64.50%,2.90%,"1,84,055",469,794,"3,572",392,1.90%,21.60%,7.00%,"499",1,1,"-",499,0.00%,-53.70%,0.00%,"30,359",51,70,"-",595,0.00%,12.10%,1.10%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
29-Dec,"25,51,629",4955,7853,"4,43,754",515,17.40%,-3.60%,"","6,93,234",1455,3135,"1,31,159",476,18.90%,-7.00%,27.20%,"11,13,982",1778,2256,"1,97,000",627,17.70%,-1.30%,43.70%,"5,37,677",1157,1651,"11,472",465,2.10%,-3.90%,21.10%,"1,24,643",433,463,"3,298",288,2.60%,15.70%,4.90%,"57,045",91,292,"778",627,1.40%,-25.30%,2.20%,"1,81,688",524,755,"4,076",347,2.20%,-1.30%,7.10%,"1,617",2,2,"-",809,0.00%,224.00%,0.10%,"23,431",39,54,"420",601,1.80%,-22.80%,0.90%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
30-Dec,"24,39,802",4611,7352,"3,48,940",529,14.30%,-4.40%,"","5,96,447",1276,2603,"70,356",467,11.80%,-14.00%,24.40%,"10,86,409",1711,2207,"1,68,420",635,15.50%,-2.50%,44.50%,"5,16,642",1025,1570,"10,859",504,2.10%,-3.90%,21.20%,"1,43,845",469,526,"2,123",307,1.50%,15.40%,5.90%,"69,284",85,384,"510",815,0.70%,21.50%,2.80%,"2,13,129",554,910,"2,633",385,1.20%,17.30%,8.70%,-,-,-,-,#DIV/0!,#DIV/0!,-100.00%,0.00%,"27,175",45,62,"3,460",604,12.70%,16.00%,1.10%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
31-Dec,"20,91,753",3873,6501,"3,75,790",540,18.00%,-14.30%,"","6,14,512",1371,2807,"99,325",448,16.20%,3.00%,29.40%,"9,87,564",1556,2006,"1,99,720",635,20.20%,-9.10%,47.20%,"4,22,107",850,1311,"6,404",497,1.50%,-18.30%,20.20%,"1,37,801",448,511,"1,564",308,1.10%,-4.20%,6.60%,"62,813",87,336,"646",722,1.00%,-9.30%,3.00%,"63,646",90,370,"2,210",707,3.50%,-70.10%,3.00%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,"3,924",6,7,"2,460",654,62.70%,-85.60%,0.20%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
